orbit_id,e,a,i,om,w,ma,n,tp,moid,moid_jup,class,producer,data_arc,n_obs_used,rms,diameter,albedo,diameter_sigma,first_year_obs,first_month_obs,last_obs_year,last_obs_month
JPL 28,0.09676545488718967,2.61491405717637,8.3395162646962,17.58847115364167,42.38782917510001,13.53971102993063,0.2330869420738094,2458542.4113275525,1.38029,2.44163,MBA,Otto Matic,34345.0,2369,0.45378999999999997,9.11,0.389,1.041,1925,11,2019,11
JPL 29,0.2019848872264342,2.2376719554520097,5.918706621630678,221.13010922610667,84.63953310473742,9.11063478530253,0.2944485672928734,2458569.5586547283,0.782141,2.57213,MBA,Otto Matic,34440.0,2506,0.44756,6.844,0.17300000000000001,0.055999999999999994,1925,8,2019,11
JPL 30,0.2080181165360614,2.403115664261687,4.817546577090881,345.0342067158682,17.09371296184042,305.1171260194573,0.2645708925325966,2458807.941088682,0.900069,2.55215,MBA,Otto Matic,39547.0,2542,0.43808,6.014,0.488,0.40399999999999997,1911,8,2019,11
JPL 27,0.1969746985714378,2.392434682022549,5.391124955605544,346.1269347088915,13.89812855661894,17.85185338193052,0.2663446266507645,2458533.4746065973,0.917291,2.5857900000000003,MBA,Otto Matic,34021.0,2215,0.47748,9.709,0.225,0.278,1926,10,2019,11
JPL 31,0.1832949210049311,2.3281367216023234,5.132424266457195,80.80863776626231,32.53181163284528,258.0393893245493,0.2774542313075664,2458967.9862343776,0.920528,2.3604700000000003,MBA,Otto Matic,40137.0,2292,0.44226000000000004,8.927,0.21100000000000002,0.131,1910,1,2019,11
JPL 32,0.09450351614113127,1.933918963694329,17.901179383428463,267.6416641329153,77.7068662044499,287.08616203422736,0.3664769512311982,2458799.458864182,0.811874,3.16414,IMB,Otto Matic,33204.0,1999,0.35811,6.692,0.384,0.078,1928,12,2019,11
JPL 37,0.1979372893555125,2.2476964313666965,4.343856743984218,147.1098824854558,151.0253145461525,61.21805152027241,0.2924809534565561,2458391.193886912,0.7878689999999999,2.52365,MBA,Otto Matic,42037.0,2885,0.43153,10.193,0.293,0.25,1904,10,2019,11
JPL 33,0.1559562309397498,2.215759004737123,4.049361476539147,158.6627394583099,219.6916721943884,153.3320321140646,0.2988273128347939,2458087.3874914427,0.8730540000000001,2.8974,MBA,Otto Matic,27829.0,3057,0.445,10.184,0.129,0.14,1943,3,2019,5
JPL 36,0.1975034668530699,2.228667978247156,2.167971383293858,216.1273262782622,113.7396249661887,351.1195990108734,0.2962347580899572,2458630.4775794246,0.778036,2.68148,MBA,Otto Matic,41290.0,2859,0.43649,10.125,0.302,0.092,1906,11,2019,11
JPL 36,0.1873518040294669,2.186591483220051,5.3756841239273605,58.23300219092621,306.6255597777296,250.3047173528231,0.3048264129923682,2458960.36147516,0.781021,2.86631,MBA,Otto Matic,32848.0,2218,0.44448000000000004,8.275,0.363,0.019,1929,9,2019,8
JPL 30,0.1656029538305832,2.27025868017079,4.275502123540715,105.5202161952255,276.1024945096347,97.86224528596384,0.2881317099636621,2458260.855865384,0.9022399999999999,2.81276,MBA,Otto Matic,32635.0,2000,0.47226,5.642,0.251,0.24100000000000002,1930,1,2019,5
JPL 25,0.2048039581626978,2.190653208987464,2.392931989166243,206.54284916455532,139.4698350081781,231.3037533865893,0.3039790306624225,2459023.8721198887,0.734907,2.77604,MBA,Otto Matic,32856.0,2703,0.44188,7.689,0.251,0.02,1929,9,2019,8
JPL 36,0.1602983161293406,2.195861165216604,3.335631259070705,280.4994818938867,28.80572359627467,59.22807165837862,0.3028982448170283,2458404.962149676,0.8292219999999999,2.68814,MBA,Otto Matic,32718.0,2496,0.4767,8.037,0.433,0.35700000000000004,1930,4,2019,11
JPL 32,0.1641917895318383,2.463888564557672,6.592957843220796,39.12229713954832,195.40662146105663,144.0324978426591,0.2548428662793386,2458035.3184041977,1.04914,2.13069,MBA,Otto Matic,33544.0,3172,0.35785,9.284,0.35600000000000004,0.524,1928,1,2019,11
JPL 31,0.046202285546511485,2.237413263376649,1.3975546955097211,91.13310900794352,354.0527631366855,143.12827806602033,0.29449963544862395,2458114.4950586082,1.15009,2.73062,MBA,Otto Matic,33417.0,2602,0.42105,6.831,0.18100000000000002,0.21100000000000002,1928,2,2019,8
JPL 33,0.1963096645445546,2.305442414311996,25.1901603335992,156.92290923640041,341.1919882332305,184.645489393628,0.2815611015811294,2459223.293807886,0.873841,2.27691,MBA,Otto Matic,32761.0,1898,0.40868000000000004,7.651,0.22899999999999998,0.064,1930,3,2019,11
JPL 27,0.2183229280003722,2.5521150017104706,12.73226789490849,218.6575541975175,122.74267512957468,265.842470026403,0.2417428920037485,2458989.9945129226,1.01952,2.4590799999999997,MBA,Otto Matic,30986.0,1671,0.44941000000000003,10.11,0.15,0.057,1934,7,2019,5
JPL 25,0.1553440319350624,2.3179682677684608,4.05395292962591,255.0737472729124,177.279042666511,323.44373487944597,0.2792819347440462,2458731.3937692447,0.9724200000000001,2.58256,MBA,Otto Matic,32597.0,2438,0.45841000000000004,7.893,0.179,0.185,1930,8,2019,11
